Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,126.6,188,Unhealthy,134.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,131.0,190,Unhealthy,135.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,132.3,191,Unhealthy,133.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,120.9,185,Unhealthy,109.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,89.6,169,Unhealthy,58.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,66.2,157,Unhealthy,42.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,51.5,140,Unhealthy for Sensitive Groups,36.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,30.5,90,Moderate,9.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,25.9,80,Moderate,21.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,28.8,86,Moderate,31.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,21.2,70,Moderate,13.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,20.2,68,Moderate,19.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,16.5,60,Moderate,12.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,12.8,52,Moderate,9.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,12.7,52,Moderate,12.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,17.6,63,Moderate,22.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,72.9,160,Unhealthy,128.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,125.6,187,Unhealthy,178.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,132.2,191,Unhealthy,138.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,166.3,217,Very Unhealthy,200.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,181.3,232,Very Unhealthy,196.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,161.2,212,Very Unhealthy,141.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,149.0,199,Unhealthy,136.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,125.2,187,Unhealthy,101.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,103.0,176,Unhealthy,80.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,98.1,173,Unhealthy,93.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,83.1,165,Unhealthy,68.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,68.0,157,Unhealthy,52.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,55.3,150,Unhealthy for Sensitive Groups,42.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,46.6,128,Unhealthy for Sensitive Groups,37.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,38.3,108,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,45.6,126,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,67.2,157,Unhealthy,88.8,UG/M3,1 Hr,Valid
