Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,314.9,365,Hazardous,326.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,301.6,352,Hazardous,288.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,235.4,285,Very Unhealthy,169.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,172.4,223,Very Unhealthy,109.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,125.4,187,Unhealthy,78.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,98.5,173,Unhealthy,71.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,72.7,160,Unhealthy,47.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,56.5,152,Unhealthy,40.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,67.0,157,Unhealthy,77.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,45.9,127,Unhealthy for Sensitive Groups,24.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,38.7,109,Unhealthy for Sensitive Groups,31.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,58.4,152,Unhealthy,78.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,68.1,158,Unhealthy,77.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,50.5,138,Unhealthy for Sensitive Groups,32.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,28.8,86,Moderate,7.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,21.0,70,Moderate,13.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,58.6,153,Unhealthy,96.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,128.0,188,Unhealthy,197.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,164.7,215,Very Unhealthy,201.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,183.5,234,Very Unhealthy,202.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,212.5,262,Very Unhealthy,241.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,302.4,352,Hazardous,392.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,329.8,380,Hazardous,357.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,310.5,360,Hazardous,291.2,UG/M3,1 Hr,Valid
